County_FIPS,County,State,Obesity-2019-Percentage,Primary Care Physicians: Rate per 100000-2019-Rate per 100,000
13035,Butts County,Georgia,22.3,24.0616
13141,Hancock County,Georgia,22.3,11.82452
17039,De Witt County,Illinois,22.3,31.9734
17051,Fayette County,Illinois,22.3,14.060740000000001
20187,Stanton County,Kansas,22.3,No Data
30067,Park County,Montana,22.3,114.41648
32011,Eureka County,Nevada,22.3,No Data
37021,Buncombe County,North Carolina,22.3,141.27592
37145,Person County,North Carolina,22.3,37.9843
41069,Wheeler County,Oregon,22.3,0
46075,Jones County,South Dakota,22.3,0
46079,Lake County,South Dakota,22.3,70.32898
48069,Castro County,Texas,22.3,13.280209999999999
48081,Coke County,Texas,22.3,No Data
48109,Culberson County,Texas,22.3,46.06172
48133,Eastland County,Texas,22.3,27.233120000000003
48249,Jim Wells County,Texas,22.3,22.2321
48323,Maverick County,Texas,22.3,23.841150000000003
48399,Runnels County,Texas,22.3,48.71395
48431,Sterling County,Texas,22.3,0
48447,Throckmorton County,Texas,22.3,66.62225000000001
48459,Upshur County,Texas,22.3,28.74045
48483,Wheeler County,Texas,22.3,39.556960000000004
48503,Young County,Texas,22.3,88.83953000000001
51690,Martinsville City,Virginia,22.3,7.965590000000001
53009,Clallam County,Washington,22.3,93.10625999999999
55037,Florence County,Wisconsin,22.3,46.56577
05127,Scott County,Arkansas,22.4,19.45336
08003,Alamosa County,Colorado,22.4,86.24407000000001
08111,San Juan County,Colorado,22.4,137.36264
13007,Baker County,Georgia,22.4,No Data
13201,Miller County,Georgia,22.4,34.97726
17013,Calhoun County,Illinois,22.4,21.1015
17023,Clark County,Illinois,22.4,38.857589999999995
17107,Logan County,Illinois,22.4,31.448739999999997
17147,Piatt County,Illinois,22.4,55.06608
22077,Pointe Coupee Parish,Louisiana,22.4,27.611600000000003
26001,Alcona County,Michigan,22.4,57.66458
26013,Baraga County,Michigan,22.4,97.45401
26095,Luce County,Michigan,22.4,112.37758999999998
27103,Nicollet County,Minnesota,22.4,87.52991
36079,Putnam County,New York,22.4,47.80309
48051,Burleson County,Texas,22.4,43.376889999999996
48123,Dewitt County,Texas,22.4,54.56349
48127,Dimmit County,Texas,22.4,39.51008
48129,Donley County,Texas,22.4,No Data
48153,Floyd County,Texas,22.4,52.52101
48235,Irion County,Texas,22.4,0
48281,Lampasas County,Texas,22.4,42.00112
48307,Mcculloch County,Texas,22.4,50.100199999999994
48311,Mcmullen County,Texas,22.4,0
48327,Menard County,Texas,22.4,46.77268
48369,Parmer County,Texas,22.4,10.41124
48387,Red River County,Texas,22.4,16.634780000000003
48443,Terrell County,Texas,22.4,0
48495,Winkler County,Texas,22.4,24.96879
49033,Rich County,Utah,22.4,No Data
55063,La Crosse County,Wisconsin,22.4,144.89561
02158,Kusilvak Census Area,Alaska,22.5,No Data
06049,Modoc County,California,22.5,67.86563
13105,Elbert County,Georgia,22.5,46.88965
13237,Putnam County,Georgia,22.5,40.689
13283,Treutlen County,Georgia,22.5,No Data
17129,Menard County,Illinois,22.5,32.79764
17151,Pope County,Illinois,22.5,No Data
17155,Putnam County,Illinois,22.5,17.42464
20075,Hamilton County,Kansas,22.5,No Data
20129,Morton County,Kansas,22.5,154.61925
22025,Catahoula Parish,Louisiana,22.5,10.53297
25001,Barnstable County,Massachusetts,22.5,93.43162
27125,Red Lake County,Minnesota,22.5,No Data
31007,Banner County,Nebraska,22.5,0
32017,Lincoln County,Nevada,22.5,38.587689999999995
35021,Harding County,New Mexico,22.5,0
35059,Union County,New Mexico,22.5,24.63661
48211,Hemphill County,Texas,22.5,104.73946000000001
48217,Hill County,Texas,22.5,24.55729
48229,Hudspeth County,Texas,22.5,No Data
48393,Roberts County,Texas,22.5,0
48417,Shackelford County,Texas,22.5,30.62787
53033,King County,Washington,22.5,120.82838
55129,Washburn County,Wisconsin,22.5,95.41985
06013,Contra Costa County,California,22.6,102.38174
08053,Hinsdale County,Colorado,22.6,121.95121999999999
13209,Montgomery County,Georgia,22.6,No Data
13225,Peach County,Georgia,22.6,21.781750000000002
13267,Tattnall County,Georgia,22.6,23.728550000000002
13273,Terrell County,Georgia,22.6,No Data
17087,Johnson County,Illinois,22.6,8.05348
17101,Lawrence County,Illinois,22.6,25.51346
17159,Richland County,Illinois,22.6,58.015859999999996
19021,Buena Vista County,Iowa,22.6,56.06524
20017,Chase County,Kansas,22.6,No Data
22083,Richland Parish,Louisiana,22.6,69.57559
29141,Morgan County,Missouri,22.6,24.24007
29179,Reynolds County,Missouri,22.6,47.84689
31117,Mcpherson County,Nebraska,22.6,0
37073,Gates County,North Carolina,22.6,No Data
37117,Martin County,North Carolina,22.6,40.10695
37139,Pasquotank County,North Carolina,22.6,62.776219999999995
42105,Potter County,Pennsylvania,22.6,42.3575
46119,Sully County,South Dakota,22.6,0
47121,Meigs County,Tennessee,22.6,48.3014
48083,Coleman County,Texas,22.6,61.162079999999996
48301,Loving County,Texas,22.6,0
48325,Medina County,Texas,22.6,23.26303
48379,Rains County,Texas,22.6,7.9910499999999995
51720,Norton City,Virginia,22.6,75.35795
54001,Barbour County,West Virginia,22.6,42.57649
55103,Richland County,Wisconsin,22.6,69.55715000000001
08019,Clear Creek County,Colorado,22.7,No Data
13155,Irwin County,Georgia,22.7,31.860660000000003
13243,Randolph County,Georgia,22.7,29.50723
17021,Christian County,Illinois,22.7,37.1471
17069,Hardin County,Illinois,22.7,104.68464
20023,Cheyenne County,Kansas,22.7,37.636430000000004
21201,Robertson County,Kentucky,22.7,No Data
28157,Wilkinson County,Mississippi,22.7,34.76246
29139,Montgomery County,Missouri,22.7,17.314519999999998
30045,Judith Basin County,Montana,22.7,No Data
35057,Torrance County,New Mexico,22.7,6.467890000000001
