County_FIPS,County,State,Obesity-2019-Percentage,Limited Access to Healthy Foods-2019-Percent
48217,Hill County,Texas,22.5,1.8864226995
48229,Hudspeth County,Texas,22.5,58.197021644
48393,Roberts County,Texas,22.5,21.408032878
48417,Shackelford County,Texas,22.5,5.3826419328
53033,King County,Washington,22.5,2.4562498659
55129,Washburn County,Wisconsin,22.5,4.5627281163
06013,Contra Costa County,California,22.6,2.8674706151
08053,Hinsdale County,Colorado,22.6,4.0907429836
13209,Montgomery County,Georgia,22.6,4.0246121707
13225,Peach County,Georgia,22.6,10.543142366
13267,Tattnall County,Georgia,22.6,6.464888963
13273,Terrell County,Georgia,22.6,2.674123192
17087,Johnson County,Illinois,22.6,2.6241075174
17101,Lawrence County,Illinois,22.6,7.8899505194
17159,Richland County,Illinois,22.6,2.7143971909
19021,Buena Vista County,Iowa,22.6,5.6174031439
20017,Chase County,Kansas,22.6,31.688249923
22083,Richland Parish,Louisiana,22.6,6.7941196937
29141,Morgan County,Missouri,22.6,1.4044292435
29179,Reynolds County,Missouri,22.6,18.245601233
31117,Mcpherson County,Nebraska,22.6,32.819383436
37073,Gates County,North Carolina,22.6,7.8891749136
37117,Martin County,North Carolina,22.6,3.9833558205
37139,Pasquotank County,North Carolina,22.6,10.016585024
42105,Potter County,Pennsylvania,22.6,1.473450567
46119,Sully County,South Dakota,22.6,21.688225015
47121,Meigs County,Tennessee,22.6,0.6948109236
48083,Coleman County,Texas,22.6,10.210800888
48301,Loving County,Texas,22.6,18.627450927
48325,Medina County,Texas,22.6,4.0486770051
48379,Rains County,Texas,22.6,No Data
51720,Norton City,Virginia,22.6,18.065566397
54001,Barbour County,West Virginia,22.6,5.2718824224
55103,Richland County,Wisconsin,22.6,18.971361517
08019,Clear Creek County,Colorado,22.7,2.8015882588
13155,Irwin County,Georgia,22.7,2.8233414313
13243,Randolph County,Georgia,22.7,18.41207172
17021,Christian County,Illinois,22.7,1.9461783117
17069,Hardin County,Illinois,22.7,6.2019589418
20023,Cheyenne County,Kansas,22.7,8.3120766066
21201,Robertson County,Kentucky,22.7,29.347599734
28157,Wilkinson County,Mississippi,22.7,8.4987184281
29139,Montgomery County,Missouri,22.7,5.9058351324
30045,Judith Basin County,Montana,22.7,22.16499104
35057,Torrance County,New Mexico,22.7,21.645806289
46097,Miner County,South Dakota,22.7,6.28857193
47083,Houston County,Tennessee,22.7,0.752506531
48333,Mills County,Texas,22.7,9.0033993481
48363,Palo Pinto County,Texas,22.7,24.313701374
48451,Tom Green County,Texas,22.7,10.434047696
48475,Ward County,Texas,22.7,2.6327929995
08085,Montrose County,Colorado,22.8,7.6567636354
13239,Quitman County,Georgia,22.8,1.3852712605
20083,Hodgeman County,Kansas,22.8,8.9071185209
21045,Casey County,Kentucky,22.8,5.5538247473
21187,Owen County,Kentucky,22.8,4.4471899145
28125,Sharkey County,Mississippi,22.8,4.652634976
31099,Kearney County,Nebraska,22.8,0.5529431151
37013,Beaufort County,North Carolina,22.8,9.1894394512
41017,Deschutes County,Oregon,22.8,5.1341378502
46003,Aurora County,South Dakota,22.8,16.918053895
47101,Lewis County,Tennessee,22.8,16.964765269
48009,Archer County,Texas,22.8,4.9312258411
48025,Bee County,Texas,22.8,10.781823203
48037,Bowie County,Texas,22.8,9.4905790745
48223,Hopkins County,Texas,22.8,8.9272386874
48247,Jim Hogg County,Texas,22.8,18.661925339
48255,Karnes County,Texas,22.8,5.6886577094
48261,Kenedy County,Texas,22.8,37.480808227
48313,Madison County,Texas,22.8,13.322006066
48395,Robertson County,Texas,22.8,9.7046454388
48453,Travis County,Texas,22.8,5.2900229549
06035,Lassen County,California,22.9,9.3014496691
08061,Kiowa County,Colorado,22.9,35.627792093
13263,Talbot County,Georgia,22.9,16.070528481
18049,Fulton County,Indiana,22.9,4.2112611671
21223,Trimble County,Kentucky,22.9,No Data
22027,Claiborne Parish,Louisiana,22.9,12.00543822
29085,Hickory County,Missouri,22.9,1.8345505498
30109,Wibaux County,Montana,22.9,44.249341202
32009,Esmeralda County,Nevada,22.9,43.740142716
37095,Hyde County,North Carolina,22.9,30.087145029
37131,Northampton County,North Carolina,22.9,0.4641635025
37149,Polk County,North Carolina,22.9,1.613174832
40077,Latimer County,Oklahoma,22.9,7.4342020345
48031,Blanco County,Texas,22.9,0.9537848338
48185,Grimes County,Texas,22.9,12.201203833
48195,Hansford County,Texas,22.9,3.6268877795
48337,Montague County,Texas,22.9,4.5086463436
48389,Reeves County,Texas,22.9,7.1886014594
48405,San Augustine County,Texas,22.9,12.008859738
51059,Fairfax County,Virginia,22.9,1.5694088143
01063,Greene County,Alabama,23,22.756475345
08059,Jefferson County,Colorado,23,3.4688413768
13183,Long County,Georgia,23,0.2600875222
13253,Seminole County,Georgia,23,6.5543318172
17149,Pike County,Illinois,23,10.070562116
21087,Green County,Kentucky,23,4.2018459785
21181,Nicholas County,Kentucky,23,0.2957093504
40067,Jefferson County,Oklahoma,23,13.590554774
47137,Pickett County,Tennessee,23,0.256144472
48227,Howard County,Texas,23,12.226463126
48331,Milam County,Texas,23,11.406741307
48449,Titus County,Texas,23,14.059167059
51127,New Kent County,Virginia,23,0
51181,Surry County,Virginia,23,7.8276750447
51640,Galax City,Virginia,23,3.7832433544
51750,Radford City,Virginia,23,16.393901225
02164,Lake and Peninsula Borough,Alaska,23.1,41.604265568
06059,Orange County,California,23.1,1.1212585853
