County_FIPS,County,State,Obesity-2021-Percentage,Enrolled in Free or Reduced Lunch-2020-2021-Percent
06085,Santa Clara County,California,18.6,32.48406634106151
17049,Effingham County,Illinois,18.6,No Data
17079,Jasper County,Illinois,18.6,No Data
18115,Ohio County,Indiana,18.6,43.06748466257669
21181,Nicholas County,Kentucky,18.6,6.507791017415215
37043,Clay County,North Carolina,18.6,41.66666666666667
48297,Live Oak County,Texas,18.6,63.06924516531504
48333,Mills County,Texas,18.6,53.10519645120405
51610,Falls Church City,Virginia,18.6,No Data
08021,Conejos County,Colorado,18.7,52.69102990033223
17035,Cumberland County,Illinois,18.7,No Data
17057,Fulton County,Illinois,18.7,No Data
17127,Massac County,Illinois,18.7,No Data
17169,Schuyler County,Illinois,18.7,No Data
17187,Warren County,Illinois,18.7,No Data
26135,Oscoda County,Michigan,18.7,75.56390977443608
30067,Park County,Montana,18.7,No Data
48165,Gaines County,Texas,18.7,60.43526785714286
48459,Upshur County,Texas,18.7,63.91660271169097
56035,Sublette County,Wyoming,18.7,20.616438356164384
08113,San Miguel County,Colorado,18.8,19.65648854961832
48063,Camp County,Texas,18.8,78.35534725181083
48155,Foard County,Texas,18.8,75.24752475247524
48197,Hardeman County,Texas,18.8,76.32653061224491
48249,Jim Wells County,Texas,18.8,78.98691540354969
48299,Llano County,Texas,18.8,63.660762211486855
51820,Waynesboro City,Virginia,18.8,No Data
01037,Coosa County,Alabama,18.9,63.7065637065637
06015,Del Norte County,California,18.9,65.36286522148916
06069,San Benito County,California,18.9,58.395573997233754
13043,Candler County,Georgia,18.9,82.20289855072464
17003,Alexander County,Illinois,18.9,No Data
17075,Iroquois County,Illinois,18.9,No Data
17083,Jersey County,Illinois,18.9,No Data
17147,Piatt County,Illinois,18.9,No Data
17199,Williamson County,Illinois,18.9,No Data
22021,Caldwell Parish,Louisiana,18.9,59.52875952875954
26001,Alcona County,Michigan,18.9,61.81818181818181
29129,Mercer County,Missouri,18.9,47.347740667976424
36061,New York County,New York,18.9,67.84801755493432
46119,Sully County,South Dakota,18.9,19.565217391304348
47135,Perry County,Tennessee,18.9,No Data
48031,Blanco County,Texas,18.9,39.32307692307692
48419,Shelby County,Texas,18.9,72.36278707668353
17067,Hancock County,Illinois,19,No Data
17149,Pike County,Illinois,19,No Data
17173,Shelby County,Illinois,19,No Data
21077,Gallatin County,Kentucky,19,61.588541666666664
22013,Bienville Parish,Louisiana,19,50.45454545454545
25019,Nantucket County,Massachusetts,19,No Data
42067,Juniata County,Pennsylvania,19,46.75
46073,Jerauld County,South Dakota,19,20.812182741116754
48009,Archer County,Texas,19,31.870324189526183
49031,Piute County,Utah,19,59.150326797385624
51690,Martinsville City,Virginia,19,No Data
06093,Siskiyou County,California,19.1,64.36745073108709
13061,Clay County,Georgia,19.1,100
13281,Towns County,Georgia,19.1,52.7542372881356
17045,Edgar County,Illinois,19.1,No Data
17117,Macoupin County,Illinois,19.1,No Data
30031,Gallatin County,Montana,19.1,No Data
30109,Wibaux County,Montana,19.1,No Data
37073,Gates County,North Carolina,19.1,38.73994638069705
48177,Gonzales County,Texas,19.1,78.35746380429356
48273,Kleberg County,Texas,19.1,70.93576526566217
48481,Wharton County,Texas,19.1,67.04730831973899
49033,Rich County,Utah,19.1,31.34020618556701
13241,Rabun County,Georgia,19.2,59.678899082568805
17005,Bond County,Illinois,19.2,No Data
17081,Jefferson County,Illinois,19.2,No Data
17129,Menard County,Illinois,19.2,No Data
22065,Madison Parish,Louisiana,19.2,99.8185117967332
26003,Alger County,Michigan,19.2,54.659685863874344
26039,Crawford County,Michigan,19.2,54.528875379939215
38007,Billings County,North Dakota,19.2,13.861386138613863
48281,Lampasas County,Texas,19.2,53.11740890688259
13317,Wilkes County,Georgia,19.3,94.15204678362574
16063,Lincoln County,Idaho,19.3,63.892013498312714
17189,Washington County,Illinois,19.3,No Data
21031,Butler County,Kentucky,19.3,51.617190961453254
21197,Powell County,Kentucky,19.3,68.97810218978103
22091,St. Helena Parish,Louisiana,19.3,85.72649572649573
30103,Treasure County,Montana,19.3,No Data
37065,Edgecombe County,North Carolina,19.3,90.65009065009065
37173,Swain County,North Carolina,19.3,56.49530127142067
46101,Moody County,South Dakota,19.3,34.38775510204082
46129,Walworth County,South Dakota,19.3,38.681592039801
48049,Brown County,Texas,19.3,58.127235962046974
08023,Costilla County,Colorado,19.4,86.80412371134021
08109,Saguache County,Colorado,19.4,83.73626373626374
17087,Johnson County,Illinois,19.4,No Data
17193,White County,Illinois,19.4,No Data
20199,Wallace County,Kansas,19.4,35.57692307692308
41001,Baker County,Oregon,19.4,No Data
42127,Wayne County,Pennsylvania,19.4,49.21106791676195
48369,Parmer County,Texas,19.4,67.31107205623901
48465,Val Verde County,Texas,19.4,68.5896833599549
02100,Haines Borough,Alaska,19.5,No Data
05073,Lafayette County,Arkansas,19.5,77.2952853598015
06057,Nevada County,California,19.5,42.76125095347063
13181,Lincoln County,Georgia,19.5,61.61971830985915
17107,Logan County,Illinois,19.5,No Data
21039,Carlisle County,Kentucky,19.5,61.627906976744185
26013,Baraga County,Michigan,19.5,61.97339246119734
31113,Logan County,Nebraska,19.5,27.692307692307693
37149,Polk County,North Carolina,19.5,60.12070566388115
37189,Watauga County,North Carolina,19.5,27.109357878588646
40059,Harper County,Oklahoma,19.5,53.2171581769437
48171,Gillespie County,Texas,19.5,49.115164715491424
48341,Moore County,Texas,19.5,61.26864104179794
48375,Potter County,Texas,19.5,70.70143573776163
13037,Calhoun County,Georgia,19.6,77.44360902255639
13171,Lamar County,Georgia,19.6,61.03512014787431
20075,Hamilton County,Kansas,19.6,68.32412523020258
22111,Union Parish,Louisiana,19.6,52.193593314763234
35059,Union County,New Mexico,19.6,64.92985971943888
37007,Anson County,North Carolina,19.6,98.99396378269618
40025,Cimarron County,Oklahoma,19.6,43.832020997375324
41037,Lake County,Oregon,19.6,No Data
