County_FIPS,County,State,Obesity-2019-Percentage,Access to Exercise Opportunities-2020 & 2022-Percent
02105,Hoonah-Angoon Census Area,Alaska,22.2,41.564482029598295
06015,Del Norte County,California,22.2,79.1190570594384
08069,Larimer County,Colorado,22.2,92.0791720742148
13099,Early County,Georgia,22.2,60.7886493458633
13109,Evans County,Georgia,22.2,69.4913681084091
13303,Washington County,Georgia,22.2,41.1697018210927
17007,Boone County,Illinois,22.2,81.0713216584344
17017,Cass County,Illinois,22.2,16.9605888667382
17047,Edwards County,Illinois,22.2,12.8102481985588
17059,Gallatin County,Illinois,22.2,35.847149211483995
17123,Marshall County,Illinois,22.2,44.5324476239142
17171,Scott County,Illinois,22.2,21.4588805819357
18013,Brown County,Indiana,22.2,49.1954765751212
18139,Rush County,Indiana,22.2,47.009312320916905
20071,Greeley County,Kansas,22.2,No Data
22049,Jackson Parish,Louisiana,22.2,16.658904929811698
22081,Red River Parish,Louisiana,22.2,52.427821522309706
37033,Caswell County,North Carolina,22.2,39.7431386347643
37115,Madison County,North Carolina,22.2,90.0155711791629
42063,Indiana County,Pennsylvania,22.2,65.4517934795666
46069,Hyde County,South Dakota,22.2,55.942947702060195
46073,Jerauld County,South Dakota,22.2,16.295850871918198
48059,Callahan County,Texas,22.2,54.595856434199
48155,Foard County,Texas,22.2,0.365296803653
48161,Freestone County,Texas,22.2,33.341908927193195
48163,Frio County,Texas,22.2,39.5811803100354
48169,Garza County,Texas,22.2,No Data
48203,Harrison County,Texas,22.2,57.64174377896249
48205,Hartley County,Texas,22.2,73.8573021181717
48243,Jeff Davis County,Texas,22.2,44.3386773547094
48259,Kendall County,Texas,22.2,79.18426342058311
48275,Knox County,Texas,22.2,40.8589322994333
48285,Lavaca County,Texas,22.2,50.7941190932783
48319,Mason County,Texas,22.2,72.0212496837845
48335,Mitchell County,Texas,22.2,61.0567296996663
48345,Motley County,Texas,22.2,24.8353715898401
48353,Nolan County,Texas,22.2,52.985479712308305
48425,Somervell County,Texas,22.2,79.1634980988593
48489,Willacy County,Texas,22.2,62.0958143225551
48507,Zavala County,Texas,22.2,No Data
51073,Gloucester County,Virginia,22.2,74.7436129265583
51678,Lexington City,Virginia,22.2,100
08079,Mineral County,Colorado,22.3,100
08091,Ouray County,Colorado,22.3,47.8046778826426
13035,Butts County,Georgia,22.3,59.2002830856334
13141,Hancock County,Georgia,22.3,0.1946193474528
17039,De Witt County,Illinois,22.3,74.8839907192575
17051,Fayette County,Illinois,22.3,44.2572598659717
20187,Stanton County,Kansas,22.3,74.0882917466411
30067,Park County,Montana,22.3,75.37083357570819
32011,Eureka County,Nevada,22.3,25.9838274932615
37021,Buncombe County,North Carolina,22.3,74.8311387556967
37145,Person County,North Carolina,22.3,44.3128628795048
41069,Wheeler County,Oregon,22.3,16.6092350103377
46075,Jones County,South Dakota,22.3,64.7764449291167
46079,Lake County,South Dakota,22.3,71.1908852518311
48069,Castro County,Texas,22.3,60.453127119793805
48081,Coke County,Texas,22.3,35.920852359208496
48109,Culberson County,Texas,22.3,94.2870201096892
48133,Eastland County,Texas,22.3,59.864598025387906
48249,Jim Wells County,Texas,22.3,48.3505181147309
48323,Maverick County,Texas,22.3,59.7163439114136
48399,Runnels County,Texas,22.3,69.7979797979798
48431,Sterling County,Texas,22.3,No Data
48447,Throckmorton County,Texas,22.3,56.5277777777778
48459,Upshur County,Texas,22.3,29.920277804949603
48483,Wheeler County,Texas,22.3,39.8597194388778
48503,Young County,Texas,22.3,83.4667263670454
51690,Martinsville City,Virginia,22.3,71.01965146459031
53009,Clallam County,Washington,22.3,76.30872918151769
55037,Florence County,Wisconsin,22.3,62.8565160157964
05127,Scott County,Arkansas,22.4,46.0349735664904
08003,Alamosa County,Colorado,22.4,81.30801172447481
08111,San Juan County,Colorado,22.4,98.8652482269504
13007,Baker County,Georgia,22.4,No Data
13201,Miller County,Georgia,22.4,19.6833333333333
17013,Calhoun County,Illinois,22.4,2.0283975659229
17023,Clark County,Illinois,22.4,60.989970883209295
17107,Logan County,Illinois,22.4,67.0668524672169
17147,Piatt County,Illinois,22.4,54.8011755532897
22077,Pointe Coupee Parish,Louisiana,22.4,42.2921283360632
26001,Alcona County,Michigan,22.4,68.6239795416544
26013,Baraga County,Michigan,22.4,17.8720274577102
26095,Luce County,Michigan,22.4,65.7613785353062
27103,Nicollet County,Minnesota,22.4,83.9176873512509
36079,Putnam County,New York,22.4,97.72596961133641
48051,Burleson County,Texas,22.4,46.7577372180025
48123,Dewitt County,Texas,22.4,64.77502017756251
48127,Dimmit County,Texas,22.4,80.7777132907719
48129,Donley County,Texas,22.4,78.6678944137508
48153,Floyd County,Texas,22.4,75.08330248056279
48235,Irion County,Texas,22.4,72.83542630535361
48281,Lampasas County,Texas,22.4,71.7621491653951
48307,Mcculloch County,Texas,22.4,81.76933158584539
