County_FIPS,County,State,Obesity-2019-Percentage,Commute ≥ 60 minutes-2017-2021-Percent
06109,Tuolumne County,California,23.2,15.6
08021,Conejos County,Colorado,23.2,2.7
08095,Phillips County,Colorado,23.2,3.7
13011,Banks County,Georgia,23.2,12.8
13049,Charlton County,Georgia,23.2,12.8
13191,Mcintosh County,Georgia,23.2,12.4
13231,Pike County,Georgia,23.2,16.2
16033,Clark County,Idaho,23.2,17.1
17005,Bond County,Illinois,23.2,11.6
17125,Mason County,Illinois,23.2,10.1
17165,Saline County,Illinois,23.2,8.1
20097,Kiowa County,Kansas,23.2,2.7
22059,Lasalle Parish,Louisiana,23.2,12.7
25015,Hampshire County,Massachusetts,23.2,4.7
26129,Ogemaw County,Michigan,23.2,11.9
28097,Montgomery County,Mississippi,23.2,11.3
30039,Granite County,Montana,23.2,8.5
30097,Sweet Grass County,Montana,23.2,12.9
37055,Dare County,North Carolina,23.2,8.1
37137,Pamlico County,North Carolina,23.2,4.2
41025,Harney County,Oregon,23.2,2.4
41057,Tillamook County,Oregon,23.2,6.8
46125,Turner County,South Dakota,23.2,6.6
48165,Gaines County,Texas,23.2,11.4
48371,Pecos County,Texas,23.2,8.5
48429,Stephens County,Texas,23.2,8.5
48433,Stonewall County,Texas,23.2,5.6
48465,Val Verde County,Texas,23.2,4.3
08025,Crowley County,Colorado,23.3,12.7
08033,Dolores County,Colorado,23.3,2.1
08041,El Paso County,Colorado,23.3,5.8
12099,Palm Beach County,Florida,23.3,7.3
13003,Atkinson County,Georgia,23.3,5.2
13111,Fannin County,Georgia,23.3,11.2
13181,Lincoln County,Georgia,23.3,13.8
13321,Worth County,Georgia,23.3,6.6
17109,Mcdonough County,Illinois,23.3,6.5
17173,Shelby County,Illinois,23.3,6.1
20201,Washington County,Kansas,23.3,3.7
22041,Franklin Parish,Louisiana,23.3,7.3
23005,Cumberland County,Maine,23.3,5.1
29227,Worth County,Missouri,23.3,10.1
37111,Mcdowell County,North Carolina,23.3,4.6
37199,Yancey County,North Carolina,23.3,10.7
38047,Logan County,North Dakota,23.3,2.3
40045,Ellis County,Oklahoma,23.3,9.4
40057,Harmon County,Oklahoma,23.3,7.3
42061,Huntingdon County,Pennsylvania,23.3,11.7
48179,Gray County,Texas,23.3,6.3
48219,Hockley County,Texas,23.3,5.4
48351,Newton County,Texas,23.3,26.6
48487,Wilbarger County,Texas,23.3,4.7
55091,Pepin County,Wisconsin,23.3,9.3
01079,Lawrence County,Alabama,23.4,6
05073,Lafayette County,Arkansas,23.4,10.8
06051,Mono County,California,23.4,3.7
08017,Cheyenne County,Colorado,23.4,3.5
08055,Huerfano County,Colorado,23.4,6.6
08115,Sedgwick County,Colorado,23.4,9.5
17035,Cumberland County,Illinois,23.4,5.2
17053,Ford County,Illinois,23.4,6
17065,Hamilton County,Illinois,23.4,9.8
20119,Meade County,Kansas,23.4,3.6
25019,Nantucket County,Massachusetts,23.4,1.2
26071,Iron County,Michigan,23.4,7.6
35033,Mora County,New Mexico,23.4,39.5
36109,Tompkins County,New York,23.4,3.8
37007,Anson County,North Carolina,23.4,6.5
37039,Cherokee County,North Carolina,23.4,8.7
46117,Stanley County,South Dakota,23.4,2.1
48019,Bandera County,Texas,23.4,25.5
48197,Hardeman County,Texas,23.4,1.1
48273,Kleberg County,Texas,23.4,6.6
48477,Washington County,Texas,23.4,6.7
50013,Grand Isle County,Vermont,23.4,10.6
54021,Gilmer County,West Virginia,23.4,23
02070,Dillingham Census Area,Alaska,23.5,0.7
02275,Wrangell City and Borough,Alaska,23.5,2.5
08005,Arapahoe County,Colorado,23.5,7.3
13033,Burke County,Georgia,23.5,8.7
13103,Effingham County,Georgia,23.5,7.7
17049,Effingham County,Illinois,23.5,4.3
17081,Jefferson County,Illinois,23.5,4.3
17175,Stark County,Illinois,23.5,6
18057,Hamilton County,Indiana,23.5,4.2
18155,Switzerland County,Indiana,23.5,21.4
24031,Montgomery County,Maryland,23.5,15.5
26101,Manistee County,Michigan,23.5,5.4
29083,Henry County,Missouri,23.5,13
46009,Bon Homme County,South Dakota,23.5,4.4
46061,Hanson County,South Dakota,23.5,6.5
50015,Lamoille County,Vermont,23.5,9.9
51003,Albemarle County,Virginia,23.5,3.7
51043,Clarke County,Virginia,23.5,19
51097,King And Queen County,Virginia,23.5,17
51830,Williamsburg City,Virginia,23.5,5.5
55031,Douglas County,Wisconsin,23.5,4.8
55113,Sawyer County,Wisconsin,23.5,7.7
